text,difficulty
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
Ich bin ein Student,medium
Das Haus ist groß,medium
Der Hund ist schnell,medium
Ich trinke Wasser,medium
Sie geht zur Schule,medium
Er liest ein Buch,medium
Wir essen Brot,medium
Das Auto ist neu,medium
Ich habe einen Hund,medium
Sie spielt im Park,medium
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
"Obwohl er müde war, ging er weiter",hard
"Das Haus, das er gekauft hat, ist sehr alt",hard
"Während sie studierte, arbeitete sie nebenbei",hard
"Er ging nach Hause, nachdem er gegessen hatte",hard
"Wenn es regnet, bleiben wir zu Hause",hard
"Nachdem er das Buch gelesen hatte, schrieb er eine Zusammenfassung",hard
"Obwohl das Wetter schlecht war, spielten sie weiter",hard
"Während er arbeitete, hörte er Musik",hard
